,user_id,install_date,country,test_group,trial,paid,subscription_name,revenue_1m
0,0000dd3fa4702a63d1b76aaffe1ab39b,2023-06-05,US,treatment,0,0,,0.0
1,0001f27ab7e22228e54c8b2028b43f24,2023-06-07,AU,treatment,0,0,,0.0
2,0006c5c547801308b36ea3cf669856ae,2023-06-07,AU,treatment,0,0,,0.0
3,000d1a300263c5db91cbefa3852898a7,2023-06-07,AU,control,0,0,,0.0
4,000e5e62e8746e467ed9f49ac5de3208,2023-06-06,US,treatment,0,0,,0.0
5,000e65027879059fe2a814be4ff21316,2023-06-04,CA,treatment,0,0,,0.0
6,000eb23cf1caf152d9b8d4ec2441e085,2023-06-02,AU,control,0,0,,0.0
7,0013a6c091188301710271b8195a999a,2023-06-03,GB,treatment,0,0,,0.0
8,001f99c190cb677eadbbe144a5c7eb02,2023-06-01,CA,treatment,0,0,,0.0
9,002066ee39aacf3dbe4294be1a08bd77,2023-06-06,GB,control,0,0,,0.0
10,00207236f2f7ce9b8b9a773cd7306ae4,2023-06-02,GB,treatment,0,0,,0.0
11,002dd15442353af0e997b28bb773805f,2023-06-05,CA,treatment,0,0,,0.0
12,002e0f373742b66e434b838ab424bbf7,2023-06-03,US,treatment,0,0,,0.0
13,003014b3431e6266035178e5f9d7da91,2023-06-01,AU,treatment,0,0,,0.0
14,00325ed2425735d08aa2ab3a7347166f,2023-06-06,CA,control,0,0,,0.0
15,0032f6e3d890cc6956761fbb511c57ec,2023-06-06,US,control,0,0,,0.0
16,0033e92c843e1dbf5ac26218e5c4a93b,2023-06-01,US,treatment,0,0,,0.0
17,003450b3db21351083edcbe510b57746,2023-06-07,GB,control,1,0,monthly.5.99.3d.trial,0.0
18,003983cc8b24cc7311097e8afcf47c87,2023-06-04,CA,treatment,0,0,,0.0
19,003992c9dc57afacc06ca6028fe3ba90,2023-06-03,GB,control,0,0,,0.0
20,0039d94befdaa58aea48672cfdcaa635,2023-06-07,AU,control,0,0,,0.0
21,003c36dd594a270803eda3960dcfb586,2023-06-07,GB,treatment,0,0,,0.0
22,003e00aa5f23286c121507fc2154db70,2023-06-05,GB,treatment,0,0,,0.0
23,0042fe43670d182171db4882ee9f8c67,2023-06-04,CA,treatment,0,0,,0.0
24,004519c3cc799bffa40a0ebcb084a409,2023-06-07,GB,control,0,0,,0.0
25,004e6bfd4cac79295d4e29501cba2749,2023-06-05,US,control,0,0,,0.0
26,005926a8bd3b660aee8106954aed025a,2023-06-07,CA,control,0,0,,0.0
27,0067ce8a0f85eb65967c25e7e7df9dfe,2023-06-02,GB,control,0,0,,0.0
28,006ee211fffc3c794b7746307c594da1,2023-06-03,US,treatment,0,0,,0.0
29,007511d0183f393069c205d10791e370,2023-06-07,GB,control,0,0,,0.0
30,007592ad66badeaee07675678a1ce70e,2023-06-05,CA,control,0,0,,0.0
31,0079e27ff5dbe22efce931b7eab2904a,2023-06-07,AU,treatment,0,0,,0.0
32,007ef8fc1bc0798d1321b066e8260a41,2023-06-04,US,treatment,0,0,,0.0
33,0087ebdfb2ef53187be8d49e09a461c9,2023-06-03,US,control,0,0,,0.0
34,008c662ddb4842458bae3cbc62c65a50,2023-06-03,US,control,1,0,monthly.5.99.3d.trial,0.0
35,0099123e107df33ab92d318c34580298,2023-06-07,AU,control,0,0,,0.0
36,009b216d466c4ac9b29dc2daa4e1d52f,2023-06-06,CA,treatment,0,0,,0.0
37,009d85125dde44540bd7c51182038bea,2023-06-05,AU,treatment,0,0,,0.0
38,00a526e2da990a0f900c1d0d9ea6d374,2023-06-07,GB,treatment,0,0,,0.0
39,00a79c2f42f171bfec415e149d550822,2023-06-07,US,control,1,0,monthly.5.99.3d.trial,0.0
40,00b516dac62a4f02f6496e34e01197cf,2023-06-04,CA,treatment,0,0,,0.0
41,00b663a0cd6795a948f7c7c97b9012a7,2023-06-01,US,control,1,0,monthly.5.99.3d.trial,0.0
42,00b83d35a00badcb91e463d695b83d00,2023-06-02,US,treatment,0,0,,0.0
43,00b8ccd3c168084b74c2f642b00cbb80,2023-06-04,CA,control,0,0,,0.0
44,00ba581419f447be8e5ecd8d5ec665ef,2023-06-06,GB,control,0,0,,0.0
45,00c130ab8597eae8f9abb71fdb0e3b87,2023-06-01,GB,treatment,0,0,,0.0
46,00c39e3a0ae64c38f8374e5df9e099b8,2023-06-06,US,control,0,0,,0.0
47,00c5107f0d8523afc81bcb73c2e6eda5,2023-06-07,AU,control,0,0,,0.0
48,00c6f09bdcb14f8eb1cd96f36eab0f83,2023-06-04,AU,treatment,0,0,,0.0
49,00ce128c88e70b6db1c7ac44ea4086f5,2023-06-06,AU,control,0,0,,0.0
50,00cede1ed7afbd3e84b76e86c4f72b2a,2023-06-03,AU,control,0,0,,0.0
51,00d368e7a6fa1d542a75f206a7942baa,2023-06-05,CA,treatment,0,0,,0.0
52,00d643a2899c4d6a7a53ca2dd8053726,2023-06-06,GB,control,0,0,,0.0
53,00e62ba3f3093c2a6612ba0b95ac0fb2,2023-06-06,AU,treatment,0,0,,0.0
54,00e85abb269e2b86924a0ccb4074149e,2023-06-07,GB,treatment,0,0,,0.0
55,00eb08eaf59261a197a29309af17148b,2023-06-06,AU,treatment,0,0,,0.0
56,00ee9f080e8910712fe3577a8c06eb6f,2023-06-05,US,treatment,0,0,,0.0
57,00f17a5f8c2da3e245ea34d6977098eb,2023-06-07,US,control,1,0,monthly.5.99.3d.trial,0.0
58,00f38310d202e2c51278d77aa6e45103,2023-06-07,CA,treatment,0,0,,0.0
59,00f45efe359442047cca298b6cb93092,2023-06-01,GB,control,0,0,,0.0
60,00f5ac2a16f2fa2e79fe872a51833224,2023-06-05,CA,control,0,0,,0.0
61,00f6f0584f7cc6726cfde61d6c10033b,2023-06-03,AU,control,0,0,,0.0
62,00f82aea816a1dad7dfcdab9da7bfc6a,2023-06-05,AU,treatment,0,0,,0.0
63,00fc63313c52f94dd7c1987cedfae640,2023-06-06,AU,treatment,1,0,weekly.2.99.3d.trial,0.0
64,00fd2cad0c338b1fa7642b2e2d4133e0,2023-06-07,GB,control,0,0,,0.0
65,00ffb5d76f2ed8e5391ddd50b8a21820,2023-06-06,GB,control,1,0,monthly.5.99.3d.trial,0.0
66,01014bdbda6358c1bb99bcdd84948037,2023-06-06,GB,treatment,0,0,,0.0
67,0102ebdebcfb77f131d262c24a0766d1,2023-06-04,GB,treatment,0,0,,0.0
68,010353dbd1b0ee8f9434b1146db206d9,2023-06-03,US,control,0,0,,0.0
69,010362df8ae2aee7b0e4ab3b5d171a80,2023-06-04,CA,treatment,0,0,,0.0
70,0103fa2637422d3a3f3ed86d96fe4dc5,2023-06-03,CA,treatment,0,0,,0.0
71,0110960e8ce25b5eca98c1d4b5c341b1,2023-06-03,AU,treatment,0,0,,0.0
72,0124737f910bf974ca5e0ec906200f4d,2023-06-01,AU,treatment,0,0,,0.0
73,01254b5a29da0771134c3e2f656849d4,2023-06-04,CA,control,1,0,monthly.5.99.3d.trial,0.0
74,0125db21de836359b7c3f462703676f2,2023-06-05,CA,treatment,0,0,,0.0
75,013448d7d436e952f2ca3a7ce8c6864b,2023-06-05,AU,control,0,0,,0.0
76,01504a8f69e45a1f66f91429a228e281,2023-06-07,GB,treatment,0,0,,0.0
77,0151be3b54562bbe9c75c9a834b26d58,2023-06-06,GB,treatment,0,0,,0.0
78,0153827615d8728a8af08ce9f5fc24fa,2023-06-05,AU,treatment,0,0,,0.0
79,0154a061e49e9a7ba3755557944c10e5,2023-06-02,GB,control,0,0,,0.0
80,015fbb10017956f7530beddbb73d3f6b,2023-06-05,CA,treatment,0,0,,0.0
