,user_id,event_timestamp,first_purchase_time,cohort_week,product_id,lifetime_months,price,frequency,revenue
0,95287b91-85af-4174-9986-aeafb3853bb6,2023-09-21 04:44:40,2023-03-25 04:44:40,2023-03-19,monthly.12.49,6,12.49,7,87.43
1,95287b91-85af-4174-9986-aeafb3853bb6,2023-03-25 04:44:40,2023-03-25 04:44:40,2023-03-19,monthly.12.49,0,12.49,7,87.43
2,95287b91-85af-4174-9986-aeafb3853bb6,2023-04-24 04:44:40,2023-03-25 04:44:40,2023-03-19,monthly.12.49,1,12.49,7,87.43
3,95287b91-85af-4174-9986-aeafb3853bb6,2023-05-24 04:44:40,2023-03-25 04:44:40,2023-03-19,monthly.12.49,2,12.49,7,87.43
4,95287b91-85af-4174-9986-aeafb3853bb6,2023-06-23 04:44:40,2023-03-25 04:44:40,2023-03-19,monthly.12.49,3,12.49,7,87.43
5,95287b91-85af-4174-9986-aeafb3853bb6,2023-07-23 04:44:40,2023-03-25 04:44:40,2023-03-19,monthly.12.49,4,12.49,7,87.43
6,95287b91-85af-4174-9986-aeafb3853bb6,2023-08-22 04:44:40,2023-03-25 04:44:40,2023-03-19,monthly.12.49,5,12.49,7,87.43
7,7d13957a-d0cd-4c46-b3ba-355d4b94d358,2023-09-26 09:42:05,2023-04-29 09:42:05,2023-04-23,monthly.12.49,5,12.49,6,74.94
8,7d13957a-d0cd-4c46-b3ba-355d4b94d358,2023-04-29 09:42:05,2023-04-29 09:42:05,2023-04-23,monthly.12.49,0,12.49,6,74.94
9,7d13957a-d0cd-4c46-b3ba-355d4b94d358,2023-05-29 09:42:05,2023-04-29 09:42:05,2023-04-23,monthly.12.49,1,12.49,6,74.94
10,7d13957a-d0cd-4c46-b3ba-355d4b94d358,2023-06-28 09:42:05,2023-04-29 09:42:05,2023-04-23,monthly.12.49,2,12.49,6,74.94
11,7d13957a-d0cd-4c46-b3ba-355d4b94d358,2023-07-28 09:42:05,2023-04-29 09:42:05,2023-04-23,monthly.12.49,3,12.49,6,74.94
12,7d13957a-d0cd-4c46-b3ba-355d4b94d358,2023-08-27 09:42:05,2023-04-29 09:42:05,2023-04-23,monthly.12.49,4,12.49,6,74.94
13,51c2db65-5726-4883-b9d1-21ca38277e0f,2023-09-26 10:15:58,2023-03-30 10:15:58,2023-03-26,monthly.12.49,6,12.49,3,37.47
14,51c2db65-5726-4883-b9d1-21ca38277e0f,2023-03-30 10:15:58,2023-03-30 10:15:58,2023-03-26,monthly.12.49,0,12.49,3,37.47
15,51c2db65-5726-4883-b9d1-21ca38277e0f,2023-04-29 10:15:58,2023-03-30 10:15:58,2023-03-26,monthly.12.49,1,12.49,3,37.47
16,91996344-a94b-4f64-91d7-bd820248e4de,2023-09-17 19:51:18,2023-03-21 19:51:18,2023-03-19,monthly.12.49,6,12.49,7,87.43
17,91996344-a94b-4f64-91d7-bd820248e4de,2023-03-21 19:51:18,2023-03-21 19:51:18,2023-03-19,monthly.12.49,0,12.49,7,87.43
18,91996344-a94b-4f64-91d7-bd820248e4de,2023-04-20 19:51:18,2023-03-21 19:51:18,2023-03-19,monthly.12.49,1,12.49,7,87.43
